readname	contig	position	leader_start	adapter_start	polya_start	transcript_start	read_rate	polya_length	qc_tag
f0865c89-5328-4441-8341-bbe95a9aa608	YCR031C_mRNA	2	37.0	129.0	833.0	1281.0	136.91	15.32	PASS
a0b860fc-1e52-4d16-8cfd-5e2a92575558	YLL050C_mRNA	6	192.0	452.0	4596.0	5095.0	111.56	13.44	SUFFCLIP
aae30ad6-846c-4c48-b1f1-03cb60a2a8b8	YCR031C_mRNA	6	2.0	3.0	3693.0	4143.0	136.91	15.41	PASS
54bc6f98-6eff-48f7-8c6b-07fb448c1f9e	YCR031C_mRNA	144	2.0	3.0	6502.0	7131.0	115.85	19.15	SUFFCLIP
7470c9a7-373c-4d19-a3ab-8c0e5237ccc4	YCR031C_mRNA	0	3.0	4.0	7748.0	8889.0	115.85	38.85	PASS
ed43305e-e88d-4483-b385-2e4099f1fb46	YLL050C_mRNA	3	204.0	430.0	5283.0	5883.0	120.48	18.96	SUFFCLIP
f0bca164-5cee-44b7-b0ab-f243e7fa3e68	YNR017W_mRNA	0	2.0	3.0	3956.0	4987.0	136.91	41.82	SUFFCLIP
c9a6c5af-239d-47eb-abef-b5b5102e6d0f	YCL040W_mRNA	295	2.0	3.0	5022.0	5761.0	120.48	24.52	SUFFCLIP
12ffc0e7-ef9a-44da-a064-053ec9f5a11a	YJR105W_mRNA	660	2.0	3.0	5446.0	7057.0	120.48	59.40	PASS
67668cba-104c-4ce9-8820-a488a2741d51	YER056C-A_mRNA	22	2.0	3.0	5582.0	5884.0	120.48	7.04	SUFFCLIP
f5af5e0f-ff9a-41f6-a760-cac6a994a529	YOL119C_mRNA	1234	2.0	3.0	5149.0	5692.0	130.96	18.57	SUFFCLIP
7d690dcf-fe0e-41c2-95df-343024535c6a	YOL119C_mRNA	1173	2.0	3.0	5175.0	6115.0	125.50	34.12	SUFFCLIP
ae45df0c-4444-4304-bd3f-d6e2888174e9	YCR031C_mRNA	194	2.0	3.0	6082.0	7215.0	120.48	40.28	PASS
