readname	contig	position	leader_start	adapter_start	polya_start	transcript_start	read_rate	polya_length	qc_tag
d6a9def9-7bd4-442a-bc36-6034ce6e647f	SPAC23A1.10	453	2.0	3.0	1859.0	1919.0	130.96	0.00	NOREGION
e5e1696a-65a1-4422-b59a-b5acff7bb958	SPAC6G10.11c	87	-1.0	-1.0	-1.0	-1.0	-1.00	-1.00	READ_FAILED_LOAD
8013e466-9248-4eb0-9b94-df8c7faf138b	SPAC3A12.10	71	2.0	3.0	4602.0	5497.0	120.48	30.76	PASS
5243bbaa-a95b-49f2-9da4-fe504eac5cec	SPAC4H3.10c	250	2.0	3.0	5724.0	7148.0	125.50	54.29	SUFFCLIP
7023563b-2348-4e3a-a715-ffaa5b4d52df	SPAC23A1.10	303	290.0	547.0	5509.0	6011.0	130.96	16.78	PASS
b98db689-0423-4499-a0a1-19fc509740f8	SPAP7G5.04c	3389	2.0	3.0	5848.0	6461.0	143.43	24.14	PASS
6ab587d0-733c-4594-a1be-af34bf3dd94e	SPAC23A1.10	400	300.0	508.0	3654.0	6683.0	125.50	121.17	SUFFCLIP
06c47905-ab29-4c9f-b52e-b724c0cd879e	SPAC19B12.02c	1795	2.0	3.0	7469.0	8690.0	75.30	25.50	PASS
f1efab54-bd27-42be-bc4b-b09fc63f55c0	SPAC513.01c	1764	2.0	3.0	4420.0	5700.0	115.85	44.19	SUFFCLIP
7b880102-f0f6-451b-a4a0-66f7dc4ccee7	SPAC23A1.10	92	2.0	3.0	4101.0	4947.0	115.85	27.50	SUFFCLIP
1796430c-cbdf-482e-b806-ed42a7752332	SPAC3G9.09c	819	2.0	3.0	5128.0	5892.0	125.50	26.79	PASS
bc7f9c52-9ca3-42af-a9e3-7fd61d15c24c	SPAC24C9.06c	2556	2.0	3.0	6855.0	7775.0	115.85	30.35	SUFFCLIP
3bc062c8-d698-4072-9ca8-6eead713eb99	SPAC31G5.17c	450	2.0	3.0	2688.0	2784.0	150.60	0.00	NOREGION
602dfb23-1329-485b-90f5-a74bdda5215f	SPAC1805.12c	78	2.0	6.0	14964.0	15523.0	111.56	15.67	ADAPTER
